25
17
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
03,03,03,03,03,03,03,03,03,03,03,03,03,03,03,03,03,03,03,03,03,03,03,03,03
03,03,03,01,01,03,01,03,03,01,01,03,01,01,03,03,03,03,01,03,03,01,03,03,03
03,03,01,01,01,01,01,01,01,01,01,01,01,01,01,03,01,01,01,01,01,01,01,03,03
03,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,03,03
03,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,03,01,01,03
03,03,01,03,01,01,01,01,01,01,03,03,01,01,01,01,01,01,01,01,01,01,01,01,03
03,01,01,01,01,01,01,01,01,01,01,03,03,01,01,01,01,01,01,01,01,04,04,04,04
03,01,01,01,01,01,01,01,01,03,03,04,04,04,04,04,04,04,04,04,04,04,01,01,03
03,01,01,01,03,01,01,01,01,01,04,04,01,01,01,01,01,01,01,01,01,01,01,01,03
03,03,01,01,01,01,01,03,01,01,04,03,01,01,01,01,01,01,01,01,01,01,01,01,03
03,01,01,01,01,01,01,01,01,01,04,04,01,01,01,01,01,01,01,01,01,01,01,01,03
03,01,03,01,01,01,01,01,03,03,01,04,03,01,01,01,01,01,01,01,01,01,01,01,03
03,01,01,01,01,01,01,01,01,01,01,04,01,01,01,01,01,01,01,01,01,01,01,01,03
03,01,03,03,01,03,03,01,03,01,01,04,01,01,01,01,01,01,01,01,01,01,01,01,03
03,03,03,03,03,03,03,03,03,03,03,04,03,03,03,03,03,03,03,03,03,03,03,03,03
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
^

